avg_angle,avg_distance,texture,contrast,class,centroid_x,centroid_y,width,height
0.06108652381980151,52.333333333333336,5.614885313794202,354.6476983115641,-1,0.44198,0.508721,0.242321,0.982558
-0.19940386704035212,76.3,12.735590921782137,696.8101790913803,-1,0.634545,0.5,0.44,0.836066
-0.1201897189441549,72.63636363636364,18.060317270039157,1217.128206665068,-1,0.519305,0.554124,0.513514,0.871134
-0.07494649140916827,87.48529411764706,25.038024701163575,1300.7576148683534,-1,0.329431,0.47929,0.284281,0.87574
-0.06981317007977318,67.41935483870968,10.547225548902198,445.3070259481039,-1,0.41196,0.508982,0.212625,0.982036
0.02617993877991498,130.85714285714286,5.291479552122629,284.49859289862883,-1,0.709184,0.526316,0.282313,0.947368
-0.04712388980384687,80.83333333333333,7.71111776447106,222.79303393213578,-1,0.297342,0.55988,0.222591,0.88024
0.31665259286182834,143.47619047619048,6.270939875060975,136.66070557504995,-1,0.799353,0.56068,0.320388,0.640777
-0.25986013307471123,42.861111111111114,13.406172839506175,693.41501393867,-1,0.374539,0.516129,0.357934,0.612903
0.36493247996245076,48.0,9.368452404590762,308.86636749930506,-1,0.644543,0.64094,0.144543,0.637584
0.003490658503988708,43.5,5.344766305786454,237.0594035699607,-1,0.587083,0.521531,0.209167,0.902711
0.18960622328483853,68.47727272727273,16.710146662675847,945.5309388406666,-1,0.393411,0.530769,0.306202,0.907692
-0.24487498293132556,56.42424242424242,12.064097961788521,517.5906026883652,-1,0.465455,0.614754,0.341818,0.770492
-0.28041623315375547,68.2,8.760418743768692,217.7968295114656,-1,0.459459,0.614706,0.0810811,0.335294
-0.20664698343612858,69.3,12.579222541507022,546.1479485951469,-1,0.719723,0.637931,0.228374,0.724138
-0.03281218993749338,115.2,19.938364208053947,1339.5929272265787,-1,0.689286,0.517857,0.259524,0.964286
-0.09853838068551318,90.66666666666667,14.039806948266921,675.2911730684856,-1,0.781818,0.562842,0.327273,0.874317
-0.5131788994669895,60.74626865671642,5.427954159330306,111.25710561270193,-1,0.494583,0.487407,0.489167,0.874074
-0.46425758103049164,61.72,3.7458844911147016,131.33832390953148,-1,0.468548,0.5,0.295161,1.0
0.03739991254273571,74.07142857142857,13.99615537848606,752.9604581673309,-1,0.505952,0.52,0.376984,0.89
-0.005288876521194895,107.0909090909091,3.0422338429603606,70.15173046984152,-1,0.296875,0.610694,0.15375,0.530957
0.15311297528859355,85.31818181818181,10.764129871165888,553.5025128634678,-1,0.52,0.57377,0.443636,0.852459
-0.04363323129985819,-20.5,7.817270317140749,344.95766141088757,-1,0.513158,0.547511,0.333333,0.461538
-0.3700098014227978,87.73333333333333,12.375020602131634,704.8216885507087,-1,0.473958,0.511513,0.33125,0.976974
-0.633001121394041,51.1219512195122,3.3207429048414028,161.59089315525878,-1,0.725,0.57875,0.283333,0.7225
-0.06108652381980151,8.5,3.8230625024929203,171.35172111204182,-1,0.62,0.672131,0.2,0.568306
-0.08726646259971638,0.0,1.4850335677785358,42.712067058985134,-1,0.638235,0.51434,0.325882,0.971319
-0.26831181038121776,187.61194029850745,2.762668078688104,87.88142229068387,-1,0.433824,0.637255,0.406863,0.72549
-0.5777958418444386,-98.26315789473684,1.2087537345504817,22.57117367148383,-1,0.529297,0.645695,0.307031,0.523179
-1.0471975511965976,-61.333333333333336,3.7737480127186016,258.84254769475365,-1,0.521978,0.559459,0.465201,0.72973
-0.2530727415391778,77.44444444444444,6.7281130725190845,224.6032323473283,-1,0.674905,0.515625,0.21673,0.864583
-0.23818610968393195,33.1764705882353,1.9432611383670382,77.7198157233457,-1,0.461818,0.562842,0.145455,0.42623
0.7714355293814938,122.2,2.4683388076042596,86.8449686473574,-1,0.587891,0.492386,0.121094,0.335025
-1.0122909661567112,-97.33333333333333,4.427456601369644,236.41348144609012,-1,0.592058,0.532967,0.33935,0.868132
-0.021559949583459317,265.81176470588235,3.8397501678094894,58.12857999539151,-1,0.381348,0.580527,0.151367,0.592972
-1.5707963267948966,-162.0,8.20892857142857,354.5463492063492,-1,0.313149,0.542857,0.273356,0.777143
-1.0054614169097769,-113.34782608695652,1.0864451350705233,14.271201361252128,-1,0.4175,0.501124,0.205,0.476404
-0.3408525362718337,67.23529411764706,6.009913999044433,340.05996177735307,-1,0.606667,0.5625,0.193333,0.875
-1.5707963267948966,-167.0,1.2109523809523812,35.30845238095239,-1,0.677778,0.646667,0.235556,0.235556
